iter	Passed	Remaining
0	149	149005
1	157	78538
2	158	52753
3	159	39772
4	160	31993
5	161	26825
6	162	23078
7	163	20254
8	163	18054
9	169	16824
10	171	15405
11	172	14200
12	173	13173
13	177	12496
14	178	11717
15	179	11041
16	180	10445
17	181	9898
18	182	9417
19	183	8974
20	183	8568
21	184	8198
22	185	7861
23	185	7553
24	186	7269
25	187	7009
26	187	6767
27	188	6544
28	189	6339
29	190	6149
30	191	5970
31	192	5810
32	193	5660
33	194	5514
34	195	5378
35	196	5254
36	196	5125
37	197	5002
38	198	4887
39	199	4781
40	200	4687
41	201	4592
42	202	4502
43	203	4419
44	204	4332
45	204	4247
46	205	4168
47	208	4128
48	209	4062
49	210	3997
50	211	3929
51	211	3863
52	212	3800
53	213	3738
54	214	3679
55	214	3620
56	215	3566
57	216	3513
58	217	3463
59	217	3412
60	218	3362
61	219	3315
62	219	3271
63	221	3238
64	222	3201
65	224	3173
66	225	3137
67	226	3099
68	226	3060
69	227	3022
70	228	2983
71	228	2946
72	229	2910
73	229	2875
74	230	2841
75	231	2811
76	231	2778
77	232	2748
78	233	2718
79	233	2688
80	234	2660
81	235	2632
82	235	2602
83	236	2579
84	237	2558
85	239	2540
86	240	2518
87	240	2495
88	241	2472
89	242	2449
90	242	2426
91	243	2404
92	244	2382
93	244	2360
94	245	2340
95	246	2321
96	247	2302
97	247	2281
98	248	2261
99	249	2241
100	249	2222
101	250	2203
102	251	2191
103	253	2185
104	254	2171
105	255	2155
106	256	2139
107	256	2122
108	257	2105
109	258	2089
110	258	2073
111	259	2058
112	260	2043
113	261	2029
114	261	2015
115	262	2001
116	263	1985
117	263	1971
118	264	1957
119	265	1944
120	266	1935
121	267	1928
122	269	1919
123	270	1908
124	270	1896
125	271	1884
126	272	1871
127	272	1859
128	273	1847
129	274	1836
130	275	1825
131	275	1814
132	276	1803
133	277	1793
134	278	1784
135	279	1775
136	280	1766
137	281	1758
138	283	1753
139	284	1746
140	285	1738
141	285	1726
142	286	1716
143	287	1706
144	287	1696
145	288	1688
146	289	1678
147	290	1669
148	290	1660
149	291	1650
150	291	1641
151	292	1632
152	293	1623
153	293	1614
154	294	1606
155	295	1597
156	296	1592
157	297	1584
158	298	1579
159	299	1572
160	300	1563
161	300	1555
162	301	1548
163	302	1539
164	302	1532
165	303	1524
166	304	1517
167	304	1509
168	305	1502
169	306	1495
170	307	1489
171	307	1482
172	308	1475
173	309	1468
174	310	1462
175	311	1460
176	312	1454
177	313	1449
178	314	1443
179	315	1437
180	316	1430
181	316	1424
182	317	1417
183	318	1411
184	319	1405
185	319	1399
186	320	1394
187	321	1388
188	322	1382
189	322	1375
190	323	1369
191	324	1364
192	325	1359
193	326	1356
194	327	1351
195	328	1347
196	329	1343
197	330	1337
198	330	1332
199	331	1326
200	332	1320
201	332	1315
202	333	1310
203	334	1305
204	335	1300
205	335	1295
206	336	1289
207	337	1284
208	337	1278
209	338	1273
210	339	1269
211	340	1264
212	341	1261
213	342	1257
214	343	1252
215	344	1248
216	344	1244
217	345	1239
218	346	1235
219	347	1230
220	347	1226
221	348	1222
222	349	1217
223	350	1213
224	350	1208
225	351	1203
226	352	1199
227	352	1195
228	353	1190
229	354	1185
230	354	1181
231	355	1178
232	356	1174
233	358	1172
234	359	1169
235	359	1165
236	360	1161
237	361	1157
238	362	1153
239	362	1148
240	363	1145
241	364	1141
242	364	1137
243	365	1132
244	366	1128
245	366	1124
246	367	1120
247	368	1116
248	368	1112
249	369	1108
250	370	1104
251	371	1101
252	371	1098
253	372	1094
254	373	1091
255	374	1088
256	375	1084
257	375	1080
258	376	1077
259	377	1074
260	378	1071
261	379	1067
262	379	1063
263	380	1060
264	381	1057
265	381	1053
266	382	1050
267	383	1046
268	383	1043
269	384	1039
270	385	1036
271	386	1034
272	387	1031
273	388	1029
274	389	1026
275	390	1023
276	391	1021
277	391	1017
278	392	1015
279	393	1012
280	394	1009
281	395	1005
282	395	1002
283	396	999
284	396	995
285	397	992
286	398	989
287	399	986
288	399	983
289	400	981
290	401	978
291	402	976
292	403	974
293	405	972
294	406	970
295	406	967
296	407	964
297	408	961
298	408	958
299	409	955
300	410	952
301	410	949
302	411	946
303	412	943
304	412	940
305	413	937
306	414	934
307	414	932
308	415	929
309	416	926
310	417	925
311	418	923
312	419	920
313	420	918
314	421	916
315	422	914
316	422	911
317	423	908
318	424	905
319	424	902
320	425	899
321	426	897
322	426	894
323	427	892
324	428	889
325	429	887
326	429	884
327	430	881
328	431	880
329	432	878
330	434	877
331	435	875
332	435	873
333	436	870
334	437	868
335	438	866
336	438	863
337	439	860
338	440	858
339	440	856
340	441	853
341	442	851
342	443	849
343	443	846
344	444	844
345	445	841
346	446	839
347	446	837
348	448	835
349	451	838
350	453	838
351	454	837
352	458	841
353	460	839
354	460	837
355	462	836
356	465	837
357	479	859
358	480	858
359	481	856
360	482	854
361	484	853
362	485	851
363	488	853
364	489	851
365	490	850
366	492	850
367	494	848
368	495	847
369	497	846
370	530	900
371	532	899
372	538	904
373	539	902
374	540	900
375	540	897
376	541	895
377	542	893
378	544	891
379	544	888
380	545	886
381	546	883
382	547	881
383	547	878
384	548	876
385	549	873
386	549	871
387	550	868
388	551	865
389	559	875
390	561	873
391	562	871
392	563	869
393	564	867
394	564	865
395	565	862
396	566	860
397	567	858
398	568	856
399	569	854
400	570	852
401	571	850
402	572	847
403	573	845
404	574	843
405	574	841
406	575	838
407	576	836
408	577	835
409	578	832
410	579	830
411	580	828
412	581	825
413	581	823
414	582	821
415	583	819
416	584	817
417	585	814
418	585	812
419	586	810
420	587	808
421	588	805
422	589	803
423	590	802
424	591	800
425	592	798
426	593	795
427	593	793
428	594	791
429	595	789
430	596	787
431	596	784
432	598	783
433	598	780
434	599	778
435	600	776
436	600	774
437	601	772
438	602	769
439	603	767
440	603	765
441	604	763
442	605	761
443	606	759
444	607	757
445	608	755
446	608	753
447	609	751
448	610	748
449	610	746
450	611	744
451	612	742
452	613	740
453	613	738
454	614	736
455	615	734
456	616	732
457	617	730
458	618	728
459	619	726
460	619	724
461	621	723
462	621	721
463	622	719
464	623	717
465	624	715
466	624	713
467	625	711
468	626	708
469	626	706
470	627	704
471	628	703
472	629	701
473	630	699
474	630	697
475	631	695
476	632	693
477	632	691
478	633	689
479	634	687
480	635	685
481	636	683
482	637	682
483	638	680
484	638	678
485	639	676
486	640	674
487	640	672
488	641	670
489	642	668
490	643	666
491	643	664
492	644	663
493	645	661
494	646	659
495	647	657
496	647	655
497	648	653
498	649	652
499	650	650
500	651	649
501	653	648
502	654	646
503	654	644
504	655	642
505	656	641
506	657	639
507	658	637
508	659	636
509	660	634
510	661	632
511	661	630
512	662	629
513	663	627
514	664	625
515	665	624
516	666	622
517	667	620
518	667	618
519	668	617
520	669	615
521	669	613
522	670	611
523	671	609
524	672	608
525	672	606
526	673	604
527	674	602
528	675	601
529	675	599
530	676	597
531	677	596
532	678	594
533	679	592
534	680	591
535	681	589
536	681	587
537	682	586
538	683	584
539	683	582
540	684	580
541	685	579
542	686	577
543	686	575
544	687	574
545	688	572
546	689	570
547	690	569
548	690	567
549	691	565
550	692	564
551	693	562
552	694	561
553	695	559
554	695	558
